league_id,season_id,game_id,date,home_team_id,away_team_id,home_team,away_team,away_team_code,home_team_code,home_points,home_expected_points,home_goals,home_xg,home_np_xg,home_np_xg_difference,home_ppda,home_deep_completions,away_points,away_expected_points,away_goals,away_xg,away_np_xg,away_np_xg_difference,away_ppda,away_deep_completions,match_date
5,2020,14199,2020-09-13 15:00:00,171,168,Monaco,Nantes,NAN,MON,3,2.1481,2,2.27042,2.27042,1.16148,9.066666666666666,8,0,0.6357999999999999,1,1.10894,1.10894,-1.16148,17.0,5,2020-09-13 15:00:00
5,2020,14198,2020-09-13 13:00:00,235,163,Nimes,Rennes,REN,NIM,0,0.5914999999999999,2,1.00844,1.00844,-1.08566,9.535714285714286,2,3,2.2064000000000004,4,2.0941,2.0941,1.08566,12.105263157894736,5,2020-09-13 13:00:00
5,2020,14200,2020-09-13 19:00:00,161,164,Paris Saint Germain,Marseille,MAR,PSG,0,2.6763,0,2.22184,2.22184,1.719023,4.375,6,3,0.2061,1,0.502817,0.502817,-1.719023,12.375,1,2020-09-13 19:00:00
5,2020,14201,2020-09-15 19:00:00,166,178,Montpellier,Lyon,LYO,MPL,3,1.0406,2,1.75168,0.991589,-0.418811,11.090909090909092,3,0,1.6727,1,2.17049,1.4104,0.418811,8.74074074074074,10,2020-09-15 19:00:00
5,2020,14202,2020-09-16 19:00:00,161,180,Paris Saint Germain,Metz,MET,PSG,3,2.3446,1,2.42357,2.42357,1.4427209999999997,6.941176470588236,11,0,0.4759,0,0.980849,0.980849,-1.4427209999999997,36.3,4,2020-09-16 19:00:00
5,2020,14203,2020-09-17 19:00:00,164,175,Marseille,Saint-Etienne,SEN,MAR,0,2.4367,0,2.65376,2.65376,1.6243900000000002,8.76923076923077,10,3,0.4132,2,1.02937,1.02937,-1.6243900000000002,10.172413793103448,4,2020-09-17 19:00:00
5,2020,14204,2020-09-18 19:00:00,178,235,Lyon,Nimes,NIM,LYO,1,2.1487,0,1.62529,1.62529,0.910458,2.911764705882353,10,1,0.6061,0,0.714832,0.714832,-0.910458,13.52,2,2020-09-18 19:00:00
5,2020,14205,2020-09-19 15:00:00,210,176,Lens,Bordeaux,BOR,LEN,3,2.874,2,3.02331,2.26321,1.904028,10.0,6,0,0.078,1,0.359182,0.359182,-1.904028,11.758620689655173,2,2020-09-19 15:00:00
5,2020,14206,2020-09-19 19:00:00,163,171,Rennes,Monaco,MON,REN,3,1.354,2,0.857476,0.857476,0.0405539999999999,13.8,3,0,1.2874,1,0.816922,0.816922,-0.0405539999999999,20.526315789473685,2,2020-09-19 19:00:00
5,2020,14211,2020-09-20 13:00:00,241,179,Brest,Lorient,LOR,BRE,3,1.1121,3,1.21203,1.21203,-0.2874799999999999,6.081081081081081,10,0,1.6038,2,1.49951,1.49951,0.2874799999999999,15.052631578947368,1,2020-09-20 13:00:00
5,2020,14213,2020-09-20 19:00:00,164,160,Marseille,Lille,LIL,MAR,1,0.8146,1,0.865098,0.865098,-0.629612,8.115384615384615,5,1,1.9018,1,1.49471,1.49471,0.629612,11.461538461538462,7,2020-09-20 19:00:00
5,2020,14209,2020-09-20 13:00:00,180,177,Metz,Reims,REI,MET,3,1.8356,2,1.71276,1.71276,1.290412,4.764705882352941,3,0,0.8642000000000001,1,1.18244,0.422348,-1.290412,14.25,6,2020-09-20 13:00:00
5,2020,14210,2020-09-20 13:00:00,166,167,Montpellier,Angers,ANG,MPL,3,2.249,4,1.94396,1.94396,1.171673,17.95,4,0,0.5516,1,0.772287,0.772287,-1.171673,17.166666666666668,5,2020-09-20 13:00:00
5,2020,14212,2020-09-20 15:00:00,168,175,Nantes,Saint-Etienne,SEN,NAN,1,1.5556,2,1.33579,1.33579,0.29841,8.0,8,1,1.048,2,1.03738,1.03738,-0.29841,10.55,3,2020-09-20 15:00:00
5,2020,14207,2020-09-20 11:00:00,170,161,Nice,Paris Saint Germain,PSG,NIC,0,0.132,0,0.930504,0.930504,-1.636956,25.153846153846157,6,3,2.7984,3,3.32755,2.56746,1.636956,15.125,11,2020-09-20 11:00:00
5,2020,14208,2020-09-20 13:00:00,225,181,Strasbourg,Dijon,DJN,STR,3,2.6767,1,2.38097,2.38097,1.893136,13.45,10,0,0.208,0,0.487834,0.487834,-1.893136,20.176470588235293,5,2020-09-20 13:00:00
5,2020,14214,2020-09-25 19:00:00,160,168,Lille,Nantes,NAN,LIL,3,2.4891999999999994,2,2.09387,1.33378,0.6734319999999999,8.0,9,0,0.3514,0,0.660348,0.660348,-0.6734319999999999,10.10344827586207,2,2020-09-25 19:00:00
5,2020,14216,2020-09-26 19:00:00,164,180,Marseille,Metz,MET,MAR,1,1.1311,1,0.864412,0.864412,-0.242718,5.315789473684211,7,1,1.5553,1,1.10713,1.10713,0.242718,18.94736842105263,0,2020-09-26 19:00:00
